Grid,Date,Burrow or other,Comments,GPS code,Precision,X (west-to-east),Y (south-to-north),Mean X (west-to-east),Mean Y (south-to-north),DATUM (original PS56=yellow),Huso,Mean X (WGS84),Mean Y (WGS84),Scaled X,Scaled Y,,,,,,,,,,,,,,,,,,
,15-Nov-21,6,,225,3,325190.0,6291729.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,17,,R17,3,325182.0,6291749.0,325182.7,6291750.0,wgs84,19,325183,6291750,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,17,,211,3,325184.0,6291751.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,17,,226,3,325182.0,6291750.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,1,,R1,3,325174.0,6291744.0,325175.0,6291745.7,wgs84,19,325175,6291746,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,1,,212,3,325176.0,6291747.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,1,,227,3,325175.0,6291746.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,ANDAM N 2021,,ANDAM N,3,325166.0,6291743.0,325166.7,6291744.7,wgs84,19,325167,6291745,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,ANDAM N 2021,,213,3,325169.0,6291745.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,ANDAM N 2021,,228,3,325165.0,6291746.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,10,,R10,3,325173.0,6291722.0,325173.0,6291721.7,wgs84,19,325173,6291722,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,10,,214,3,325173.0,6291720.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,10,,229,3,325173.0,6291723.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,46,,R46,3,325170.0,6291685.0,325168.7,6291684.3,wgs84,19,325169,6291684,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,46,,272,3,325169.0,6291684.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,46,,314,3,325167.0,6291684.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,SILLA 2022,,SILLA1,3,325220.0,6291699.0,325219.7,6291699.0,wgs84,19,325220,6291699,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,SILLA 2022,,273,3,325221.0,6291699.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,SILLA 2022,,315,3,325218.0,6291699.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,57,,R57,3,325223.0,6291717.0,325222.3,6291716.7,wgs84,19,325222,6291717,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,57,,274,3,325222.0,6291716.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,57,,316,3,325222.0,6291717.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,10m SW48,,10mSW481,3,325243.0,6291785.0,325242.7,6291785.3,wgs84,19,325243,6291785,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,10m SW48,,275,3,325243.0,6291785.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,10m SW48,,317,3,325242.0,6291786.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,48,,R48,3,325250.0,6291791.0,325249.7,6291791.3,wgs84,19,325250,6291791,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,48,,276,3,325250.0,6291791.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,48,,318,3,325249.0,6291792.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,40m SW58,,40mSW58,3,325265.0,6291762.0,325264.3,6291762.3,wgs84,19,325264,6291762,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,40m SW58,,277,3,325265.0,6291762.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,40m SW58,,319,3,325263.0,6291763.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,58,,R58,3,325295.0,6291799.0,325294.0,6291799.3,wgs84,19,325294,6291799,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,58,,278,3,325293.0,6291799.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,58,,320,3,325294.0,6291800.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,13m W58,,13mW58,3,325282.0,6291801.0,325281.3,6291802.0,wgs84,19,325281,6291802,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,13m W58,,279,3,325281.0,6291802.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,13m W58,,321,3,325281.0,6291803.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,49,,R49,3,325257.0,6291862.0,325259.0,6291861.3,wgs84,19,325259,6291861,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,49,,280,3,325260.0,6291860.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,49,,322,3,325260.0,6291862.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,56,,R56,3,325233.0,6291838.0,325233.0,6291838.0,wgs84,19,325233,6291838,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,56,,281,3,325232.0,6291837.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,56,,323,3,325234.0,6291839.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,9m NW56,,9mNW56,3,325228.0,6291842.0,325228.0,6291843.0,wgs84,19,325228,6291843,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,9m NW56,,282,3,325228.0,6291843.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,9m NW56,,324,3,325228.0,6291844.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,50,,R50,3,325212.0,6291868.0,325211.7,6291868.0,wgs84,19,325212,6291868,,,,,,,,,,,,,,,,,,,,
,22-Jul-22,50,,283,3,325211.0,6291868.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,25-Jul-22,50,,325,3,325212.0,6291868.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,21-Jul-22,12m NE35,,12mNE35,3,325220.0,6291822.0,325218.3,6291811.8,wgs84,19,325218,6291812,,,,,,,,,,,,,,,,,,,,
