"","id1","id2","n","n_behave","n_scan","actor.obs","subject.obs","ave.obs","frequency"
"170","7227","7290",5,2,3,18,8.33333333333333,13.1666666666667,0.379746835443038
"171","7227","7390",2,1,1,18,45,31.5,0.0634920634920635
"172","7227","7426",1,1,0,18,41.3333333333333,29.6666666666667,0.0337078651685393
"173","7227","7456",2,1,1,18,13.3333333333333,15.6666666666667,0.127659574468085
"174","7230","7010",5,2,3,16.5,44.5,30.5,0.163934426229508
"175","7230","7207",9,5,4,16.5,45.6666666666667,31.0833333333333,0.289544235924933
"176","7230","7222",1,1,0,16.5,16.5,16.5,0.0606060606060606
"177","7230","7267",3,1,2,16.5,35.5,26,0.115384615384615
"178","7230","7342",2,1,1,16.5,28.5,22.5,0.0888888888888889
"179","7232","6833",8,4,4,25.6666666666667,22.5,24.0833333333333,0.332179930795848
"180","7232","7218",7,1,6,25.6666666666667,28.6666666666667,27.1666666666667,0.257668711656442
"181","7232","7219",1,1,0,25.6666666666667,38.3333333333333,32,0.03125
"182","7232","7291",1,1,0,25.6666666666667,26.5,26.0833333333333,0.0383386581469649
"183","7232","7443",2,1,1,25.6666666666667,18.1666666666667,21.9166666666667,0.091254752851711
"184","7232","7453",1,1,0,25.6666666666667,34.3333333333333,30,0.0333333333333333
"185","7233","6937",1,1,0,27.1666666666667,20.3333333333333,23.75,0.0421052631578947
"186","7233","7194",8,5,3,27.1666666666667,38,32.5833333333333,0.245524296675192
"187","7233","7268",4,3,1,27.1666666666667,26.8333333333333,27,0.148148148148148
"188","7233","7286",13,5,8,27.1666666666667,26.1666666666667,26.6666666666667,0.4875
"189","7233","7295",10,3,7,27.1666666666667,29.8333333333333,28.5,0.350877192982456
"190","7233","7313",5,2,3,27.1666666666667,30.1666666666667,28.6666666666667,0.174418604651163
"191","7233","7346",1,1,0,27.1666666666667,26.8333333333333,27,0.037037037037037
"192","7234","6814",2,2,0,28.3333333333333,12,20.1666666666667,0.0991735537190083
"193","7234","7072",1,1,0,28.3333333333333,29.5,28.9166666666667,0.0345821325648415
"194","7234","7220",1,1,0,28.3333333333333,31.8333333333333,30.0833333333333,0.0332409972299169
"195","7234","7230",1,1,0,28.3333333333333,16.5,22.4166666666667,0.0446096654275093
"196","7234","7255",10,5,5,28.3333333333333,33.6666666666667,31,0.32258064516129
"197","7234","7265",6,4,2,28.3333333333333,16.1666666666667,22.25,0.269662921348315
"198","7234","7391",7,3,4,28.3333333333333,25.8333333333333,27.0833333333333,0.258461538461538
