"","id","sex","meanagd","masculinization","mean_bm","n_bm","meanhf","n","bodycondition","mean_escapescore","docility","hr50","hr95"
"208",7472,"M",NA,NA,179.45,2,NA,NA,NA,NA,NA,0.115412426757813,0.546358874511719
"209",7473,"M",9.22857142857143,"average",161.7,25,24.7985714285714,7,-0.186934696101982,NA,NA,NA,NA
"210",7474,"M",NA,NA,197.711764705882,17,NA,NA,NA,NA,NA,NA,NA
"211",7475,"M",8.83,"average",231.107142857143,14,25.5666666666667,3,0.121987220765818,NA,NA,0.0607739501953125,0.367670385742188
"212",7476,"M",7.422,"low",182.342105263158,19,24.638,5,-0.0565244719989502,NA,NA,NA,NA
"213",7477,"M",NA,NA,171.25,2,NA,NA,NA,NA,NA,NA,NA
"214",7478,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",7479,"M",NA,NA,190.376923076923,13,NA,NA,NA,NA,NA,0.0346290161132813,0.145071508789062
"216",7480,"M",7.26,"low",199.9,7,25.765,4,-0.0352919355622011,0.539619832818046,"fast leaving trap",0.058353955078125,0.251035205078125
"217",7481,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",7482,"F",NA,NA,196.366666666667,3,24.045,2,0.0560850381640868,NA,NA,NA,NA
"219",7483,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",7484,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",7485,"M",8.35666666666667,"average",183.394117647059,17,24.5788888888889,9,-0.0469746558770438,NA,NA,0.0462074340820312,0.242717736816406
"222",7486,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",7487,"M",NA,NA,169.975,4,NA,NA,NA,NA,NA,NA,NA
"224",7491,"F",NA,NA,239.525,4,NA,NA,NA,NA,NA,NA,NA
"225",7494,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",7497,"F",NA,NA,200.65,2,24.015,2,0.0796368860305837,NA,NA,NA,NA
"227",7503,"M",7.465,"low",188.514285714286,7,24.765,4,-0.0313623241571758,NA,NA,NA,NA
"228",7504,"F",1.02,"low",160.316666666667,6,23.8,5,-0.130558845467838,NA,NA,NA,NA
"229",7505,"M",8.5025,"average",206.357142857143,28,24.8475,4,0.0538151926894987,NA,NA,NA,NA
"230",7506,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",7507,"F",1.215,"average",192.15,16,24.3275,4,0.0159145852242619,NA,NA,NA,NA
"232",7508,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",7509,"F",NA,NA,200.655555555556,9,NA,NA,NA,NA,NA,NA,NA
"234",7530,"F",NA,NA,178.911111111111,9,NA,NA,NA,NA,NA,NA,NA
"235",7665,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",7834,"M",NA,NA,207.4,4,NA,NA,NA,NA,NA,NA,NA
"237",7874,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",7892,"F",NA,NA,199.78,5,NA,NA,NA,NA,NA,NA,NA
"239",7904,"M",NA,NA,219.26,5,NA,NA,NA,NA,NA,NA,NA
"240",7917,"F",NA,NA,215.2,2,NA,NA,NA,NA,NA,NA,NA
