"","actor","subject","n","actor.obs","subject.obs","ave.obs","frequency"
"150","7346","7274",1,26.8333333333333,13.5,20.1666666666667,0.0495867768595041
"151","7346","7295",1,26.8333333333333,29.8333333333333,28.3333333333333,0.0352941176470588
"152","7346","7369",3,26.8333333333333,23.6666666666667,25.25,0.118811881188119
"153","7352","7302",1,8.66666666666667,39,23.8333333333333,0.041958041958042
"154","7355","7186",1,31.6666666666667,29.3333333333333,30.5,0.0327868852459016
"155","7355","7234",1,31.6666666666667,28.3333333333333,30,0.0333333333333333
"156","7355","7263",1,31.6666666666667,50.8333333333333,41.25,0.0242424242424242
"157","7355","7276",2,31.6666666666667,23.6666666666667,27.6666666666667,0.072289156626506
"158","7355","7443",1,31.6666666666667,18.1666666666667,24.9166666666667,0.040133779264214
"159","7355","7472",1,31.6666666666667,33,32.3333333333333,0.0309278350515464
"160","7367","7139",1,16,36.6666666666667,26.3333333333333,0.0379746835443038
"161","7367","7302",1,16,39,27.5,0.0363636363636364
"162","7369","6888",2,23.6666666666667,11.5,17.5833333333333,0.113744075829384
"163","7369","7295",3,23.6666666666667,29.8333333333333,26.75,0.11214953271028
"164","7369","7480",1,23.6666666666667,42.6666666666667,33.1666666666667,0.0301507537688442
"165","7380","7291",2,27.8333333333333,26.5,27.1666666666667,0.0736196319018405
"166","7380","7455",1,27.8333333333333,37.6666666666667,32.75,0.0305343511450382
"167","7384","7222",5,11.5,16.5,14,0.357142857142857
"168","7384","7263",1,11.5,50.8333333333333,31.1666666666667,0.0320855614973262
"169","7384","7355",1,11.5,31.6666666666667,21.5833333333333,0.0463320463320463
"170","7386","7139",1,41,36.6666666666667,38.8333333333333,0.0257510729613734
"171","7386","7222",1,41,16.5,28.75,0.0347826086956522
"172","7390","7220",1,45,31.8333333333333,38.4166666666667,0.0260303687635575
"173","7390","7455",1,45,37.6666666666667,41.3333333333333,0.0241935483870968
"174","7391","7072",3,25.8333333333333,29.5,27.6666666666667,0.108433734939759
"175","7391","7222",1,25.8333333333333,16.5,21.1666666666667,0.047244094488189
"176","7391","7230",1,25.8333333333333,16.5,21.1666666666667,0.047244094488189
"177","7391","7265",2,25.8333333333333,16.1666666666667,21,0.0952380952380952
"178","7391","7460",1,25.8333333333333,22.3333333333333,24.0833333333333,0.041522491349481
"179","7391","7472",3,25.8333333333333,33,29.4166666666667,0.101983002832861
"180","7407","7270",1,31.3333333333333,30.3333333333333,30.8333333333333,0.0324324324324324
"181","7407","7455",1,31.3333333333333,37.6666666666667,34.5,0.0289855072463768
"182","7407","7475",1,31.3333333333333,27.1666666666667,29.25,0.0341880341880342
"183","7410","7139",2,41.6666666666667,36.6666666666667,39.1666666666667,0.051063829787234
"184","7410","7268",1,41.6666666666667,26.8333333333333,34.25,0.0291970802919708
"185","7410","7386",1,41.6666666666667,41,41.3333333333333,0.0241935483870968
"186","7427","6814",1,49.5,12,30.75,0.032520325203252
"187","7427","7255",1,49.5,33.6666666666667,41.5833333333333,0.0240480961923848
"188","7427","7263",3,49.5,50.8333333333333,50.1666666666667,0.0598006644518272
"189","7427","7324",1,49.5,48.8333333333333,49.1666666666667,0.0203389830508475
"190","7427","7328",4,49.5,46.5,48,0.0833333333333333
"191","7427","7453",8,49.5,34.3333333333333,41.9166666666667,0.190854870775348
"192","7433","7475",1,8,27.1666666666667,17.5833333333333,0.0568720379146919
"193","7443","6833",1,18.1666666666667,22.5,20.3333333333333,0.0491803278688525
"194","7443","7218",1,18.1666666666667,28.6666666666667,23.4166666666667,0.0427046263345196
"195","7443","7219",1,18.1666666666667,38.3333333333333,28.25,0.0353982300884956
"196","7443","7279",1,18.1666666666667,53.6666666666667,35.9166666666667,0.0278422273781903
"197","7443","7315",1,18.1666666666667,28,23.0833333333333,0.0433212996389892
"198","7453","7328",1,34.3333333333333,46.5,40.4166666666667,0.0247422680412371
"199","7455","7302",22,37.6666666666667,39,38.3333333333333,0.573913043478261
"200","7455","7328",1,37.6666666666667,46.5,42.0833333333333,0.0237623762376238
"201","7455","7407",1,37.6666666666667,31.3333333333333,34.5,0.0289855072463768
"202","7460","7072",2,22.3333333333333,29.5,25.9166666666667,0.0771704180064309
"203","7460","7186",1,22.3333333333333,29.3333333333333,25.8333333333333,0.0387096774193548
"204","7472","7072",1,33,29.5,31.25,0.032
"205","7472","7204",3,33,2.83333333333333,17.9166666666667,0.167441860465116
"206","7472","7207",3,33,45.6666666666667,39.3333333333333,0.076271186440678
"207","7472","7222",3,33,16.5,24.75,0.121212121212121
"208","7472","7230",1,33,16.5,24.75,0.0404040404040404
"209","7472","7263",1,33,50.8333333333333,41.9166666666667,0.0238568588469185
"210","7472","7267",2,33,35.5,34.25,0.0583941605839416
"211","7472","7328",1,33,46.5,39.75,0.0251572327044025
"212","7472","7477",3,33,4.66666666666667,18.8333333333333,0.15929203539823
"213","7475","7355",1,27.1666666666667,31.6666666666667,29.4166666666667,0.0339943342776204
"214","7477","7207",1,4.66666666666667,45.6666666666667,25.1666666666667,0.0397350993377483
"215","7479","7475",1,16,27.1666666666667,21.5833333333333,0.0463320463320463
"216","7480","7139",1,42.6666666666667,36.6666666666667,39.6666666666667,0.0252100840336134
"217","7480","7222",9,42.6666666666667,16.5,29.5833333333333,0.304225352112676
"218","7480","7271",1,42.6666666666667,17,29.8333333333333,0.0335195530726257
"219","7480","7276",3,42.6666666666667,23.6666666666667,33.1666666666667,0.0904522613065327
"220","7480","7369",1,42.6666666666667,23.6666666666667,33.1666666666667,0.0301507537688442
"221","7480","7410",1,42.6666666666667,41.6666666666667,42.1666666666667,0.0237154150197628
"222","7485","7083",1,20.8333333333333,27.3333333333333,24.0833333333333,0.041522491349481
"223","7485","7479",1,20.8333333333333,16,18.4166666666667,0.0542986425339367
