"","id1","id2","n","n_behave","n_scan","actor.obs","subject.obs","ave.obs","frequency"
"117","6937","7084",5,4,1,18.8333333333333,21.8333333333333,20.3333333333333,0.245901639344262
"118","6937","7098",2,1,1,18.8333333333333,29.6666666666667,24.25,0.0824742268041237
"119","6937","7099",2,2,0,18.8333333333333,20,19.4166666666667,0.103004291845494
"120","6937","7114",5,3,2,18.8333333333333,21.6666666666667,20.25,0.246913580246914
"121","6937","7149",3,2,1,18.8333333333333,12.8333333333333,15.8333333333333,0.189473684210526
"122","6937","7170",4,1,3,18.8333333333333,24.8333333333333,21.8333333333333,0.183206106870229
"123","6937","7192",7,5,2,18.8333333333333,24.6666666666667,21.75,0.32183908045977
"124","6937","7199",1,1,0,18.8333333333333,9.16666666666667,14,0.0714285714285714
"125","6938","6833",4,4,0,24,43,33.5,0.119402985074627
"126","6938","7029",6,4,2,24,14.1666666666667,19.0833333333333,0.314410480349345
"127","6938","7031",2,1,1,24,12.6666666666667,18.3333333333333,0.109090909090909
"128","6938","7055",11,9,2,24,28.6666666666667,26.3333333333333,0.417721518987342
"129","6938","7115",1,1,0,24,40.5,32.25,0.0310077519379845
"130","6938","7166",5,3,2,24,35.8333333333333,29.9166666666667,0.167130919220056
"131","6938","7171",2,2,0,24,39.8333333333333,31.9166666666667,0.0626631853785901
"132","6938","7191",6,4,2,24,7.66666666666667,15.8333333333333,0.378947368421053
"133","6938","7193",2,1,1,24,25.6666666666667,24.8333333333333,0.0805369127516778
"134","6938","7202",2,2,0,24,5.5,14.75,0.135593220338983
"135","6993","6833",3,2,1,27.1666666666667,43,35.0833333333333,0.0855106888361045
"136","6993","7055",4,2,2,27.1666666666667,28.6666666666667,27.9166666666667,0.143283582089552
"137","6993","7059",4,3,1,27.1666666666667,24.8333333333333,26,0.153846153846154
"138","6993","7060",4,4,0,27.1666666666667,24.8333333333333,26,0.153846153846154
"139","6993","7107",3,2,1,27.1666666666667,31,29.0833333333333,0.103151862464183
"140","6993","7135",4,1,3,27.1666666666667,22.8333333333333,25,0.16
"141","6993","7193",3,1,2,27.1666666666667,25.6666666666667,26.4166666666667,0.113564668769716
"142","6995","6837",4,3,1,22.1666666666667,11.5,16.8333333333333,0.237623762376238
"143","6995","6911",1,1,0,22.1666666666667,23.3333333333333,22.75,0.043956043956044
"144","6995","7065",4,3,1,22.1666666666667,20,21.0833333333333,0.189723320158103
"145","6995","7132",1,1,0,22.1666666666667,24.8333333333333,23.5,0.0425531914893617
"146","6995","7140",3,3,0,22.1666666666667,19.6666666666667,20.9166666666667,0.143426294820717
"147","6995","7141",4,1,3,22.1666666666667,21.8333333333333,22,0.181818181818182
"148","6995","7169",1,1,0,22.1666666666667,24.3333333333333,23.25,0.043010752688172
"149","7007","6936",1,1,0,11,25.8333333333333,18.4166666666667,0.0542986425339367
"150","7007","7130",1,1,0,11,8.66666666666667,9.83333333333333,0.101694915254237
"151","7010","6814",7,3,4,25.1666666666667,15.1666666666667,20.1666666666667,0.347107438016529
"152","7010","6833",2,1,1,25.1666666666667,43,34.0833333333333,0.058679706601467
"153","7010","6936",10,4,6,25.1666666666667,25.8333333333333,25.5,0.392156862745098
"154","7010","7095",7,3,4,25.1666666666667,12.3333333333333,18.75,0.373333333333333
